,body,climate_control,color,cruise_control,defects,door_count,driver_side,drivetrain,electric_windows,engine,engine_power,first_registration_country,fuel,gear_count,gearbox,gps,inspection,leather_seats,manufacturer,model,price,seats,year
0,hatchback,,silver,,,4/5,1.0,FWD,1.0,1.1l.,55.0,LT,diesel,6.0,0.0,,2020-02,,Kia,Rio,6490,5.0,2015
1,avant,,black,1.0,,4/5,1.0,FWD,1.0,1.4l.,66.0,LT,diesel,6.0,0.0,,2021-02,,Kia,Cee'd,8990,5.0,2014
2,suv,1.0,blue,1.0,,4/5,1.0,FWD,1.0,1.6l.,97.0,LT,petrol,6.0,0.0,1.0,2021-10,,Kia,Sportage,20490,5.0,2018
3,suv,1.0,silver,1.0,,4/5,1.0,FWD,1.0,1.7l.,104.0,LT,diesel,7.0,1.0,,2021-03,,Kia,Sportage,20990,5.0,2018
4,suv,1.0,white,1.0,,4/5,1.0,FWD,1.0,1.7l.,85.0,LT,diesel,6.0,0.0,1.0,2021-05,,Kia,Sportage,20990,5.0,2018
5,suv,1.0,silver,1.0,,4/5,1.0,AWD,1.0,2.0l.,136.0,LT,diesel,,1.0,1.0,2021-04,,Hyundai,Tucson,21990,5.0,2016
6,hatchback,1.0,,1.0,,4/5,1.0,,1.0,1.9l.,81.0,,diesel,,0.0,,2021-03,,Volkswagen,Golf,1250,,1999
7,suv,1.0,silver,1.0,,4/5,1.0,AWD,1.0,4.0l.,206.0,,petrol,5.0,1.0,1.0,2021-05,1.0,Toyota,Land Cruiser,33000,8.0,2010
8,other,1.0,,1.0,,4/5,1.0,,1.0,2.0l.,,,diesel,,0.0,,2020-06,,Toyota,Corolla Verso,1500,,2003
9,avant,1.0,blue,,,4/5,1.0,RWD,1.0,2.0l.,110.0,I,petrol/lpg,5.0,0.0,,2019-09,1.0,BMW,520,999,5.0,1998
10,hatchback,,,,,4/5,1.0,,1.0,1.3l.,,,petrol/lpg,,0.0,,2021-05,,Hyundai,Getz,1350,,2004
